epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2611,1.87195,3.22626,2.29915,0.01279,1,0.62856,0.43333,1.03006,3.51969,1.79653,0.00024293,0.00024293,0.00024293
2,139.947,1.23292,2.06381,1.6142,0.00362,1,0.995,0.66541,1.01575,3.24406,1.66429,0.000490247,0.000490247,0.000490247
3,205.95,1.20059,1.75421,1.55844,0.88933,0.11111,0.8708,0.37966,1.60885,3.27379,2.35327,0.000727378,0.000727378,0.000727378
4,258.65,1.12098,1.5652,1.53448,0.82581,0.66667,0.995,0.64909,1.23049,2.53329,1.95794,0.000954323,0.000954323,0.000954323
5,310.917,1.24159,1.6522,1.54024,0.52401,0.89044,0.86964,0.41193,1.53872,2.51772,2.0853,0.00117108,0.00117108,0.00117108
6,363.086,1.11265,1.49294,1.45833,0.60444,0.94382,0.98917,0.60317,1.29267,2.05063,1.95394,0.00128753,0.00128753,0.00128753
7,415.321,1.13144,1.40659,1.45071,0.85018,1,0.995,0.65836,1.17325,1.68174,1.78306,0.00125923,0.00125923,0.00125923
8,469.188,1.14377,1.28815,1.41659,0.65969,0.86489,0.981,0.62735,1.27921,2.07131,1.95442,0.00123094,0.00123094,0.00123094
9,521.556,1.17162,1.29762,1.49508,0.87931,0.66092,0.995,0.68395,1.2984,2.39728,1.96159,0.00120265,0.00120265,0.00120265
10,574.441,1.14686,1.26936,1.44329,0.96731,1,0.995,0.65706,1.16359,1.64822,1.76113,0.00117435,0.00117435,0.00117435
11,626.267,1.08493,1.23765,1.4409,0.96138,1,0.995,0.67442,1.34013,1.39256,1.92821,0.00114606,0.00114606,0.00114606
12,678.011,1.11847,1.1714,1.44822,0.88079,1,0.995,0.69716,1.20306,1.33932,1.80769,0.00111776,0.00111776,0.00111776
13,729.651,1.07752,1.14751,1.43735,0.99066,1,0.995,0.67056,1.25333,1.24268,1.84155,0.00108947,0.00108947,0.00108947
14,781.727,1.11391,1.14187,1.42767,0.96509,1,0.995,0.6624,1.20839,1.1604,1.7457,0.00106118,0.00106118,0.00106118
15,833.513,1.08802,1.1017,1.44818,0.98739,1,0.995,0.71874,1.10474,1.1279,1.65868,0.00103288,0.00103288,0.00103288
16,885.436,1.06808,1.08201,1.41249,0.96186,1,0.995,0.68907,1.228,1.25255,1.81332,0.00100459,0.00100459,0.00100459
17,937.58,1.03785,1.08481,1.37813,0.98591,1,0.995,0.63486,1.38724,1.14432,1.94153,0.000976293,0.000976293,0.000976293
18,989.521,1.0358,1.06852,1.41307,0.98816,1,0.995,0.69695,1.21527,1.0741,1.82135,0.000947999,0.000947999,0.000947999
19,1042.65,1.00423,0.98623,1.34624,0.99138,1,0.995,0.68196,1.14915,1.07198,1.83461,0.000919704,0.000919704,0.000919704
20,1098.04,1.03781,1.01239,1.36815,0.99024,1,0.995,0.6888,1.09017,1.00859,1.76095,0.00089141,0.00089141,0.00089141
21,1151.4,1.01521,0.94617,1.37728,0.98655,1,0.995,0.7021,1.1117,1.04706,1.72046,0.000863116,0.000863116,0.000863116
22,1204.94,1.02358,0.91137,1.38092,0.98401,1,0.995,0.70078,1.17443,0.91249,1.68303,0.000834822,0.000834822,0.000834822
23,1258.39,1.00065,0.90598,1.36045,0.98508,1,0.995,0.71261,1.11484,0.89312,1.65803,0.000806528,0.000806528,0.000806528
24,1311.62,1.07179,0.90266,1.40477,0.98925,1,0.995,0.70778,1.08782,0.89534,1.6437,0.000778233,0.000778233,0.000778233
25,1365.1,1.00606,0.8782,1.37455,0.99309,1,0.995,0.71991,1.10438,0.84586,1.66337,0.000749939,0.000749939,0.000749939
26,1418.56,1.05049,0.91608,1.39662,0.9848,1,0.995,0.72854,1.10755,0.83576,1.61763,0.000721645,0.000721645,0.000721645
27,1471.96,1.02433,0.85246,1.34097,0.99083,1,0.995,0.72629,1.0862,0.76699,1.58681,0.000693351,0.000693351,0.000693351
28,1525.79,1.0043,0.79984,1.33217,0.98835,1,0.995,0.71706,1.14889,0.80097,1.63983,0.000665057,0.000665057,0.000665057
29,1579.66,1.03049,0.80325,1.39437,0.98854,1,0.995,0.68631,1.22364,0.85252,1.74271,0.000636762,0.000636762,0.000636762
30,1633.62,1.01875,0.80773,1.33402,0.98865,1,0.995,0.68433,1.19384,0.79619,1.80284,0.000608468,0.000608468,0.000608468
31,1687.59,1.02044,0.81977,1.40568,0.98912,1,0.995,0.68079,1.20457,0.78731,1.80047,0.000580174,0.000580174,0.000580174
32,1740.76,1.0211,0.80315,1.3578,0.98705,1,0.995,0.70991,1.19458,0.77319,1.78185,0.00055188,0.00055188,0.00055188
33,1803.86,1.05136,0.78738,1.3544,0.98385,1,0.995,0.70787,1.17828,0.76327,1.75215,0.000523586,0.000523586,0.000523586
