epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,559.752,0.96986,3.47526,1.39344,1,0.0885,0.62443,0.50703,0.74866,3.78131,1.27178,0.000205177,0.000205177,0.000205177
2,1123.01,0.6921,1.95979,1.16338,0.80461,0.98363,0.98079,0.85176,0.51487,1.98626,1.019,0.000409416,0.000409416,0.000409416
3,1628.93,0.68771,1.5184,1.13379,0.95984,0.94459,0.995,0.89548,0.49976,1.67378,1.02257,0.000609531,0.000609531,0.000609531
4,2100.4,0.62271,1.25061,1.09388,0.9156,0.97394,0.98441,0.91565,0.42596,1.40321,0.92813,0.000606437,0.000606437,0.000606437
5,2529.54,0.59277,1.10606,1.06829,0.92206,0.98185,0.99304,0.92072,0.44494,1.41616,0.9562,0.00060025,0.00060025,0.00060025
6,3116.87,0.57398,0.99229,1.05684,0.9728,1,0.995,0.92173,0.42594,1.02905,0.91642,0.000594062,0.000594062,0.000594062
7,3610.61,0.57045,0.9048,1.04993,0.97329,1,0.995,0.89205,0.47144,1.04501,0.96359,0.000587875,0.000587875,0.000587875
8,4011.97,0.53219,0.80048,1.02656,0.98592,1,0.995,0.93733,0.37528,0.84018,0.89916,0.000581687,0.000581687,0.000581687
9,4409.23,0.50924,0.7462,1.01445,0.97872,1,0.995,0.94104,0.38633,0.78439,0.90002,0.0005755,0.0005755,0.0005755
10,4825.55,0.5261,0.71422,1.02418,0.98867,0.99813,0.995,0.92986,0.41785,0.73548,0.9178,0.000569313,0.000569313,0.000569313
11,5261.83,0.51452,0.66325,1.00931,0.98553,1,0.995,0.9378,0.37574,0.66807,0.89109,0.000563125,0.000563125,0.000563125
12,5679.45,0.48268,0.61644,1.00014,0.98025,1,0.995,0.94367,0.35192,0.67026,0.88534,0.000556938,0.000556938,0.000556938
13,6084.78,0.47462,0.58477,0.99838,0.98647,0.99557,0.995,0.93452,0.3738,0.62319,0.90125,0.00055075,0.00055075,0.00055075
14,6499.88,0.48386,0.56853,1.00531,0.98607,0.98708,0.99288,0.94783,0.3686,0.58812,0.88184,0.000544563,0.000544563,0.000544563
15,6918.8,0.47145,0.5299,0.98827,0.98008,0.99673,0.995,0.94327,0.34818,0.53047,0.86755,0.000538375,0.000538375,0.000538375
16,7340.39,0.44885,0.50725,0.9817,0.98518,0.99595,0.995,0.94754,0.34338,0.51657,0.864,0.000532187,0.000532187,0.000532187
17,7748.87,0.45435,0.49616,0.98169,0.99032,1,0.995,0.95772,0.33321,0.47481,0.85255,0.000526,0.000526,0.000526
18,8150.45,0.46923,0.48461,0.99039,0.99276,1,0.995,0.9547,0.32235,0.42996,0.863,0.000519812,0.000519812,0.000519812
19,8545.19,0.44513,0.48395,0.9779,0.99,1,0.995,0.93882,0.35406,0.46129,0.87607,0.000513625,0.000513625,0.000513625
20,8938.37,0.4343,0.45118,0.96749,0.98528,1,0.995,0.94986,0.33622,0.42834,0.85554,0.000507438,0.000507438,0.000507438
21,9334.57,0.43044,0.42232,0.96769,0.99223,1,0.995,0.94765,0.34,0.39574,0.86091,0.00050125,0.00050125,0.00050125
22,9730.26,0.43588,0.42883,0.97235,0.99442,1,0.995,0.94395,0.35575,0.38331,0.87804,0.000495063,0.000495063,0.000495063
23,10138.6,0.41922,0.39601,0.96094,0.98567,0.99697,0.995,0.95208,0.34789,0.39632,0.86649,0.000488875,0.000488875,0.000488875
24,10540.9,0.41248,0.39509,0.95981,0.98749,1,0.995,0.94532,0.35464,0.3673,0.8628,0.000482687,0.000482687,0.000482687
25,10955.9,0.40199,0.36758,0.94911,0.99059,1,0.995,0.96091,0.31891,0.33959,0.84065,0.0004765,0.0004765,0.0004765
26,11359.4,0.40345,0.38037,0.95417,0.99122,1,0.995,0.9522,0.32952,0.32763,0.85014,0.000470312,0.000470312,0.000470312
27,11743.4,0.38681,0.35498,0.94932,0.98972,1,0.995,0.96336,0.3235,0.32068,0.84018,0.000464125,0.000464125,0.000464125
28,12125,0.38725,0.35626,0.94801,0.99239,1,0.995,0.9663,0.31607,0.32465,0.83973,0.000457938,0.000457938,0.000457938
29,12505.3,0.39747,0.35799,0.94714,0.98973,0.99931,0.995,0.96675,0.2961,0.29437,0.82799,0.00045175,0.00045175,0.00045175
30,12884.9,0.38356,0.33828,0.94041,0.99195,1,0.995,0.95324,0.35197,0.30226,0.88105,0.000445562,0.000445562,0.000445562
31,13264.9,0.38511,0.33261,0.94678,0.99289,1,0.995,0.95746,0.31497,0.30815,0.84239,0.000439375,0.000439375,0.000439375
32,13657.1,0.38318,0.32587,0.94089,0.99347,1,0.995,0.95658,0.33188,0.29499,0.85493,0.000433187,0.000433187,0.000433187
